2025-08-05 21:34:51.383 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /? | Status: 200 | Tempo: 0.005s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-05 21:34:51.423 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /favicon.ico? | Status: 404 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/
2025-08-05 21:36:01.334 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: OPTIONS | Rota: /admin/participantes/cadastro? | Status: 405 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:27.276 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /meu-perfil? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:27.280 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /meu-perfil? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:30.962 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /meu-perfil? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:30.967 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /meu-perfil? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:32.175 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/meus-eventos? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:32.178 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/meus-eventos? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:32.524 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/? | Status: 200 | Tempo: 0.361s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:32.529 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/? | Status: 200 | Tempo: 0.003s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:33.294 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/todas-inscricoes? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:33.298 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/todas-inscricoes? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:34.240 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/todas-inscricoes? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:35.164 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/meus-eventos? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:35.170 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/? | Status: 200 | Tempo: 0.008s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:35.171 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/meus-eventos? | Status: 401 | Tempo: 0.002s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:35.176 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/? | Status: 200 | Tempo: 0.002s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:35.806 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /meu-perfil? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:35.810 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /meu-perfil? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:36:41.732 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /docs? | Status: 200 | Tempo: 0.0s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-05 21:36:41.889 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /openapi.json? | Status: 200 | Tempo: 0.06s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-05 21:37:31.800 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /meu-perfil? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:37:31.803 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /meu-perfil? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:37:33.804 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /meu-perfil? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:37:33.807 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /meu-perfil? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
2025-08-05 21:37:34.709 | INFO     | qrcheck.app:log_middleware:126 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /meu-perfil? | Status: 401 | Tempo: 0.002s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5174/
