2025-08-06 22:02:27.852 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/meus-eventos? | Status: 401 | Tempo: 0.006s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-06 22:02:27.888 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/? | Status: 200 | Tempo: 0.02s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-06 22:04:51.909 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /inscricao-evento/550e8400-e29b-41d4-a716-446655440000? | Status: 401 | Tempo: 0.018s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-06 22:05:42.778 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /auth/token? | Status: 401 | Tempo: 0.221s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-06 22:05:53.216 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /auth/token? | Status: 401 | Tempo: 0.007s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-06 22:05:55.709 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /auth/token? | Status: 401 | Tempo: 0.009s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-06 22:10:32.761 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/meus-eventos? | Status: 401 | Tempo: 0.161s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-06 22:10:32.827 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/? | Status: 200 | Tempo: 0.214s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-06 22:18:11.407 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /? | Status: 200 | Tempo: 0.009s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-06 22:28:03.425 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /auth/token? | Status: 401 | Tempo: 0.014s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/login
2025-08-06 22:28:47.425 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 422 | Tempo: 0.075s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-06 22:36:56.957 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 422 | Tempo: 0.085s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-06 22:45:25.532 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 422 | Tempo: 0.03s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-06 22:57:57.516 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 422 | Tempo: 0.033s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-06 23:00:53.662 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 422 | Tempo: 0.029s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-06 23:02:38.666 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 422 | Tempo: 0.015s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-06 23:04:40.442 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 422 | Tempo: 0.009s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-06 23:07:04.047 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /? | Status: 200 | Tempo: 0.056s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-06 23:12:23.406 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /? | Status: 200 | Tempo: 0.019s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-06 23:12:24.681 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /favicon.ico? | Status: 404 | Tempo: 0.042s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/
2025-08-06 23:12:29.407 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /docs? | Status: 200 | Tempo: 0.021s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-06 23:12:29.913 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /openapi.json? | Status: 200 | Tempo: 0.251s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-06 23:12:38.012 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /? | Status: 200 | Tempo: 0.012s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-07 07:40:05.079 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /? | Status: 200 | Tempo: 0.004s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-07 07:40:05.166 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /favicon.ico? | Status: 404 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/
2025-08-07 07:41:27.261 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 422 | Tempo: 0.082s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
