2025-08-07 22:06:46.940 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /? | Status: 200 | Tempo: 0.004s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-07 22:06:50.315 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /docs? | Status: 200 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-07 22:06:50.648 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /openapi.json? | Status: 200 | Tempo: 0.042s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-07 22:07:44.546 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /auth/token? | Status: 401 | Tempo: 0.572s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/login
2025-08-07 22:07:58.580 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /auth/token? | Status: 200 | Tempo: 0.112s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/login
2025-08-07 22:07:58.686 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 9f540b2d-2780-461a-afb5-44fd1a67c87c | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.064s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-07 22:07:58.702 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 9f540b2d-2780-461a-afb5-44fd1a67c87c | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.01s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-07 22:08:02.888 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 9f540b2d-2780-461a-afb5-44fd1a67c87c | Método: GET | Rota: /eventos/? | Status: 200 | Tempo: 0.026s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-07 22:08:02.905 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 9f540b2d-2780-461a-afb5-44fd1a67c87c | Método: GET | Rota: /eventos/? | Status: 200 | Tempo: 0.004s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-07 22:08:03.026 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 9f540b2d-2780-461a-afb5-44fd1a67c87c | Método: GET | Rota: /eventos/meus-eventos? | Status: 200 | Tempo: 0.155s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-07 22:08:03.042 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 9f540b2d-2780-461a-afb5-44fd1a67c87c | Método: GET | Rota: /eventos/meus-eventos? | Status: 200 | Tempo: 0.009s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-07 22:08:04.402 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 9f540b2d-2780-461a-afb5-44fd1a67c87c | Método: GET | Rota: /eventos/todas-inscricoes? | Status: 200 | Tempo: 0.01s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-07 22:08:04.416 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 9f540b2d-2780-461a-afb5-44fd1a67c87c | Método: GET | Rota: /eventos/todas-inscricoes? | Status: 200 | Tempo: 0.005s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-07 22:09:13.899 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 9f540b2d-2780-461a-afb5-44fd1a67c87c | Método: GET | Rota: /eventos/? | Status: 200 | Tempo: 0.045s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-07 22:09:13.905 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 9f540b2d-2780-461a-afb5-44fd1a67c87c | Método: GET | Rota: /eventos/meus-eventos? | Status: 200 | Tempo: 0.023s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-07 22:09:13.920 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 9f540b2d-2780-461a-afb5-44fd1a67c87c | Método: GET | Rota: /eventos/? | Status: 200 | Tempo: 0.006s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-07 22:09:13.925 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 9f540b2d-2780-461a-afb5-44fd1a67c87c | Método: GET | Rota: /eventos/meus-eventos? | Status: 200 | Tempo: 0.008s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-07 22:09:15.146 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 9f540b2d-2780-461a-afb5-44fd1a67c87c | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.034s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-07 22:09:15.162 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 9f540b2d-2780-461a-afb5-44fd1a67c87c | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.011s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-10 20:48:04.208 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /? | Status: 200 | Tempo: 0.01s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-10 20:49:45.838 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /? | Status: 200 | Tempo: 0.016s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-10 20:53:03.130 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /? | Status: 200 | Tempo: 0.006s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-10 20:53:09.533 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /docs? | Status: 200 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-10 20:53:10.102 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /openapi.json? | Status: 200 | Tempo: 0.149s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-10 20:53:13.493 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /auth/token? | Status: 401 | Tempo: 0.432s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/login
2025-08-10 20:53:20.912 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /auth/token? | Status: 401 | Tempo: 0.093s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/login
2025-08-10 20:55:59.967 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /auth/token? | Status: 401 | Tempo: 0.57s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/login
2025-08-10 20:56:34.206 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /auth/token? | Status: 401 | Tempo: 0.16s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/login
2025-08-10 20:57:17.703 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: DELETE | Rota: /admin/participantes/deletar/3? | Status: 204 | Tempo: 0.362s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-10 20:58:31.996 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 422 | Tempo: 0.289s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-10 20:58:54.027 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /auth/token? | Status: 401 | Tempo: 0.114s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/login
2025-08-10 20:59:34.301 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 201 | Tempo: 0.432s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-10 20:59:45.322 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /auth/token? | Status: 200 | Tempo: 0.212s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/login
